frame,elapsed_ms,capture_ms,copy_ms,native_texture
193,1598.581,0.933,0.311,19
194,1606.852,0.869,0.285,23
195,1615.148,0.871,0.289,27
196,1623.763,1.031,0.306,19
197,1631.857,0.865,0.280,23
198,1640.146,0.891,0.281,27
199,1648.627,0.945,0.286,19
200,1656.975,0.897,0.290,23
201,1665.218,0.922,0.280,27
202,1673.627,0.975,0.306,19
203,1681.904,0.904,0.306,23
204,1690.259,0.942,0.298,27
205,1698.705,0.993,0.309,19
206,1706.925,0.926,0.302,23
207,1715.240,0.993,0.293,27
208,1723.643,0.937,0.285,19
209,1731.941,0.919,0.300,23
210,1740.385,1.003,0.292,27
211,1748.645,0.950,0.303,19
212,1757.030,0.944,0.294,23
213,1765.363,0.989,0.288,27
214,1773.644,0.946,0.289,19
215,1781.957,0.918,0.288,23
216,1790.187,0.852,0.287,27
217,1798.520,0.852,0.271,19
218,1806.805,0.807,0.272,23
219,1815.058,0.796,0.273,27
220,1823.419,0.763,0.280,19
221,1831.914,0.905,0.278,23
222,1840.218,0.956,0.281,27
223,1848.339,0.725,0.276,19
224,1856.970,0.891,0.306,23
225,1865.193,0.910,0.303,27
226,1873.411,0.785,0.289,19
227,1881.857,0.813,0.287,23
228,1890.156,0.850,0.287,27
229,1898.413,0.742,0.286,19
230,1906.812,0.803,0.273,23
231,1915.048,0.762,0.279,27
232,1923.424,0.815,0.283,19
233,1931.799,0.840,0.303,23
234,1940.188,0.842,0.283,27
235,1948.625,0.811,0.283,19
236,1956.849,0.784,0.290,23
237,1965.085,0.801,0.274,27
238,1973.564,0.921,0.284,19
239,1981.818,0.827,0.283,23
240,1990.176,0.835,0.285,27
241,1998.413,0.724,0.279,19
242,2006.780,0.775,0.277,23
243,2015.149,0.798,0.281,27
244,2023.429,0.739,0.289,19
245,2031.739,0.746,0.281,23
246,2040.047,0.767,0.268,27
247,2048.625,0.840,0.283,19
248,2056.892,0.756,0.273,23
249,2065.046,0.742,0.276,27
250,2073.418,0.779,0.280,19
251,2081.845,0.787,0.285,23
252,2090.313,0.808,0.279,27
253,2098.431,0.762,0.288,19
254,2106.918,0.801,0.286,23
255,2115.125,0.811,0.279,27
256,2123.483,0.832,0.275,19
257,2131.780,0.752,0.268,23
258,2140.056,0.789,0.277,27
259,2148.415,0.762,0.292,19
260,2156.869,0.786,0.285,23
261,2165.179,0.895,0.286,27
262,2173.450,0.766,0.285,19
263,2181.758,0.759,0.296,23
264,2190.195,0.893,0.290,27
265,2198.484,0.822,0.278,19
266,2206.805,0.818,0.303,23
267,2215.047,0.771,0.270,27
268,2223.474,0.797,0.284,19
269,2231.749,0.753,0.274,23
270,2240.215,0.833,0.279,27
271,2248.661,0.874,0.283,19
272,2256.966,0.872,0.294,23
273,2265.279,0.936,0.303,27
274,2273.489,0.825,0.268,19
275,2281.901,0.862,0.285,23
276,2290.090,0.747,0.281,27
277,2298.435,0.746,0.277,19
278,2306.799,0.768,0.286,23
279,2315.099,0.758,0.268,27
280,2323.609,0.916,0.298,19
281,2331.823,0.792,0.298,23
282,2340.377,1.007,0.316,27
283,2348.772,0.933,0.298,19
284,2357.070,0.926,0.305,23
285,2365.155,0.771,0.280,27
286,2373.722,0.970,0.288,19
287,2381.830,0.796,0.277,23
288,2390.263,0.913,0.279,27
289,2398.755,0.935,0.279,19
290,2407.152,1.014,0.317,23
291,2415.485,0.968,0.294,27
292,2423.733,0.969,0.291,19
293,2431.924,0.794,0.280,23
294,2440.395,0.877,0.287,27
295,2448.720,0.894,0.289,19
296,2457.074,0.891,0.290,23
297,2465.193,0.827,0.288,27
298,2473.522,0.804,0.282,19
299,2481.844,0.782,0.281,23
300,2490.165,0.817,0.277,27
301,2498.482,0.784,0.291,19
302,2506.768,0.713,0.275,23
303,2515.091,0.742,0.285,27
